,AssetName,AssetCode,InvestmentStrategy,AcquisitionType,AcquisitionDate,SaleDate,IsTaxCredit,ActualStabilizationDate,AreaType,AssetClass,AssetStyle,StabilizationStatus,OccupancyStabilizationDate,CortosMSAID,CortosSubMarketID,CoStarSubMarketID,CBSAID,oslPropertyID,oslSubPropertyID,AverageBuildYear,YearBuiltEnd,YearRenovated,CurrentUnitCount,RentableSquareFoot,ConstructionBeginDate,ConstructionEndDate,Acreage,AcquisitionPrice,TotalHardCosts,TotalSoftAndClosingCosts,TotalProjectCosts,IsSeniorHousing,IsUnitReno,IsRecapitalization,ZipCode,Latitude,Longitude,WebAddress,EmailAddress,osaEntityID,Phone,Address1,PlannedUnitCount,LegalName,TaxID,Portfolio,City,StateCode,ParentAssetName
43,Cortland Cary - Phase 1,CorcM27519,Core-Plus,Acquisition,2020-08-05 00:00:00.0000000,,False,2021-09-21 00:00:00.0000000,Suburban,A,Garden-Style,Stabilized,2021-09-21 00:00:00.0000000,239580.0,6.0,7346.0,39580.0,4755410.0,1394.0,2019.0,2019.0,,205.0,194587.0,2020-09-30 00:00:00.0000000,2022-02-28 00:00:00.0000000,,49200000.0,832750.0,1682970.68635318,51715720.6863532,False,False,False,27519-7640,35.832523,-78.879899,cortland.com/cary,Cary@cortland.com,cary,(919) 689-4956,5110 Alston Glen Dr,,USRIG Scenic Club NC Partners LP ,85-1605713 ,Yieldco II,Cary,NC,Cortland Cary
44,Cortland Jubilee Park,corjp32822,Core-Plus,Acquisition,2018-07-17 00:00:00.0000000,,False,2018-08-16 00:00:00.0000000,Suburban,A,Garden-Style,Stabilized,2018-08-16 00:00:00.0000000,36740.0,2.0,7502.0,36740.0,4372067.0,775.0,2015.0,2015.0,,330.0,384472.0,2018-08-31 00:00:00.0000000,2020-07-31 00:00:00.0000000,24.66,65750000.0,2207471.0,2652785.0,70610256.0,False,True,False,32822-5001,28.456206,-81.288463,www.cortlandjubileepark.com,jubileepark@cortland.com,jubileepark,(407) 565-7984,6850 Merryvale Ln,,"Merryvale FL Partners, LLC",83-0951697,GTIS Portfolio,Orlando,FL,Cortland Jubilee Park
45,Cortland Brackenridge,bracm78209,Core-Plus,Acquisition,2019-09-27 00:00:00.0000000,,False,2019-10-27 00:00:00.0000000,Suburban,A,Garden-Style,Stabilized,2019-10-27 00:00:00.0000000,41700.0,2.0,7588.0,41700.0,4559202.0,1236.0,2014.0,2014.0,,282.0,240205.0,,,9.61,47261552.3139945,2122702.90135148,365459.250243023,49749714.465589,False,True,False,78209-7009,29.451806,-98.469114,cortland.com/brackenridge,Brackenridge@cortland.com,brackenridge,(210) 817-5485,223 Brackenridge Ave,,PURE BRACK APTS LLC,47-4602223,Portfolio 22,San Antonio,TX,Cortland Brackenridge
46,Cortland Peterson,corpet80915,,Development,2023-11-15 00:00:00.0000000,,False,,,A,Garden-style,Non-Stabilized,,17820.0,2.0,8800.0,17820.0,,,2024.5,2026.0,,,,2023-12-01 00:00:00.0000000,2026-02-01 00:00:00.0000000,10.473,6800000.0,74244000.0,10433000.0,91477000.0,False,False,False,80915,38.843138,-104.725717,,,,,5704 Ella View,294.0,"5704 Ella View CO Partners, LLC		",,,Colorado Springs,CO,Cortland Peterson
47,Battery 1st Base,bat1b30339,Core-Plus,Acquisition,2018-10-09 00:00:00.0000000,,False,2024-01-02 00:00:00.0000000,Suburban,A,Mid-Rise,Stabilized,2024-01-02 00:00:00.0000000,12060.0,24.0,6713.0,12060.0,4405678.0,1081.0,2017.0,2017.0,,211.0,177747.0,2018-10-31 00:00:00.0000000,2020-04-30 00:00:00.0000000,,62068173.2580038,1301876.33058174,1578609.10306224,64948658.69164769,False,False,False,30339-3008,33.889162,-84.470535,www.cortlandatthebatteryatl.com,thebattery@cortland.com,battery1,(404) 777-0375,900 Battery Ave SE,,,,Stand-alone,Atlanta,GA,Cortland at the Battery Atlanta
48,Cortland Sugar Land,venr77469,Core-Plus,Acquisition,2017-12-19 00:00:00.0000000,,False,2018-05-25 00:00:00.0000000,Suburban,A,Garden-Style,Stabilized,2018-05-25 00:00:00.0000000,26420.0,35.0,6857.0,26420.0,4266928.0,690.0,2014.0,2014.0,,230.0,269115.0,2017-12-31 00:00:00.0000000,2017-01-31 00:00:00.0000000,,42445463.0,411255.0,1562307.0,44419025.0,False,True,False,77469-2215,29.562407,-95.695379,cortland.com/sugar-land,sugarland@cortland.com,richmond,(281) 767-2251,5200 Pointe West Cir,,Ransom Road Partners LLC,45-4867202,Portfolio 20,Richmond,TX,Cortland Sugar Land
49,Cortland Sabino Canyon,corsc85750,Value-Add,Acquisition,2021-10-20 00:00:00.0000000,,False,2024-05-05 00:00:00.0000000,Suburban,B,Garden-Style,Stabilized,2024-05-05 00:00:00.0000000,46060.0,7.0,8814.0,46060.0,4874081.0,1638.0,1988.0,1988.0,,189.0,166549.0,2021-11-30 00:00:00.0000000,2024-10-31 00:00:00.0000000,,41000000.0,9842373.36658485,2125982.53991984,52968355.9065047,False,True,False,85750-7006,32.296013,-110.822437,cortland.com/sabino-canyon,SabinoCanyon@cortland.com,sabinocanyon,(520) 492-0498,4880 N Sabino Canyon Rd,,Sabino Canyon AZ Partners LLC,83-2495528,CGI,Tucson,AZ,Cortland Sabino Canyon
50,Cortland on Cherry Creek,covccbre80231,Core-Plus,Acquisition,2020-02-28 00:00:00.0000000,,False,2021-01-13 00:00:00.0000000,Infill,B,Garden-Style,Stabilized,2021-01-13 00:00:00.0000000,19740.0,12.0,7786.0,19740.0,3862659.0,1361.0,1996.0,1996.0,,384.0,370380.0,,,17.1,110870751.0,,,,False,True,True,80231-4199,39.676574,-104.895866,cortland.com/cherry-creek,cherrycreek@cortland.com,covingtonbre,(720) 619-3025,2234 S Trenton Way,,,84-4601448,Acorn 1,Denver,CO,Cortland on Cherry Creek
51,Cortland Biltmore Place,parcbre285016,Core-Plus,Acquisition,2021-05-07 00:00:00.0000000,,False,2019-10-27 00:00:00.0000000,Suburban,A,Garden-Style,Stabilized,2019-10-27 00:00:00.0000000,38060.0,2.0,7840.0,38060.0,4559211.0,1513.0,2015.0,2015.0,,152.0,125582.0,,,4.3,38000000.0,1380999.159186,898019.3662387781,40279018.5254247,False,False,False,85016-5707,33.496325,-112.022067,cortland.com/biltmore-place,biltmoreplace@cortland.com,biltmorecbre,(602) 353-7909,4114 N 28th St,,PURE PARK APTS LLC,82-1514686,Portfolio 22,Phoenix,AZ,Cortland Biltmore Place
52,Cortland Luxe Shadow Creek,luxscr77584,Core-Plus,Acquisition,2018-10-23 00:00:00.0000000,,False,2019-07-28 00:00:00.0000000,Suburban,A,Garden-Style,Stabilized,2019-07-28 00:00:00.0000000,26420.0,15.0,6856.0,26420.0,4412162.0,1063.0,2018.0,2018.0,,324.0,343826.0,2018-11-30 00:00:00.0000000,2019-05-31 00:00:00.0000000,,58777788.0,869989.0,2174806.0,61822583.0,False,True,False,77584-3785,29.577813,-95.419246,cortland.com/luxe-shadow-creek,LuxeShadowCreek@cortland.com,luxe,(713) 561-5903,1930 Kingsley Dr,,DD SCR VI LLC,46-2596884,Portfolio 20,Pearland,TX,Cortland Luxe Shadow Creek
53,Cortland at Coalton,citfoef80021,Core-Plus,Acquisition,2020-05-13 00:00:00.0000000,,False,2021-05-30 00:00:00.0000000,Suburban,A,Garden-Style,Stabilized,2021-05-30 00:00:00.0000000,19740.0,8.0,7788.0,19740.0,4645665.0,1380.0,2019.0,2019.0,,198.0,208751.0,2020-06-30 00:00:00.0000000,2021-11-30 00:00:00.0000000,,64350000.0,724560.0,1332638.77998056,66407198.7799806,False,False,False,80021-8350,39.927307,-105.138797,cortland.com/coalton,coalton@cortland.com,citronatflatirons,(720) 463-7226,501 Summit Blvd,,DD Sumit Blvd LLC,81-5439011,CGI,Broomfield,CO,Cortland at Coalton
54,Cortland on Ponce,coronponce30030,Value-add,Acquisition,2022-06-28 00:00:00.0000000,,False,,Suburban,A,Mid-rise,Non-Stabilized,2025-01-30 00:00:00.0000000,12060.0,13.0,6715.0,12060.0,4988101.0,1857.0,2015.0,2015.0,,234.0,212022.0,,,,84400000.0,7490846.0,1047589.0,92938435.0,False,True,False,30030-3233,33.777312,-84.300817,cortland.com/ponce,ponce@cortland.com,ponce,(404) 973-2916,220 Ponce De Leon Pl,234.0,Ponce De Leon GA Partners LLC,61-1870995,CGI,Decatur,GA,Cortland on Ponce
55,Battery 2nd Base,bat2b30339,Core-Plus,Acquisition,2018-10-09 00:00:00.0000000,,False,2024-03-05 00:00:00.0000000,Suburban,A,Mid-Rise,Stabilized,2024-03-05 00:00:00.0000000,12060.0,24.0,6713.0,12060.0,4405678.0,1082.0,2017.0,2017.0,,239.0,226940.0,2018-10-31 00:00:00.0000000,2020-04-30 00:00:00.0000000,,70304708.0979284,1474637.17065894,1788092.77550651,73567438.0440939,False,False,False,30339-3008,33.887411,-84.470644,www.cortlandatthebatteryatl.com,thebattery@cortland.com,battery2,(404) 777-0375,900 Battery Ave SE,,,,Stand-alone,Atlanta,GA,Cortland at the Battery Atlanta
56,Cortland at the Hill,hil30342,Core-Plus,Acquisition,2019-12-16 00:00:00.0000000,,False,2020-08-10 00:00:00.0000000,Infill,B,Mid-Rise,Stabilized,2020-08-10 00:00:00.0000000,12060.0,7.0,6749.0,12060.0,4588719.0,1316.0,2019.0,2019.0,,287.0,245379.0,,,3.83,79500000.0,1375458.678,2750274.23955777,83625732.91755779,False,False,False,30342-2191,33.905243,-84.349061,cortland.com/the-hill,TheHill@cortland.com,thehill,(404) 442-4887,1160 Johnson Ferry Rd,,Johnson Ferry GA Partners LLC,84-3226484,Stand-alone,Sandy Springs,GA,Cortland at the Hill
57,Cortland ChampionsGate,corcg33896,Opportunistic,Development,2021-07-01 00:00:00.0000000,,False,2024-08-17 00:00:00.0000000,Suburban,A,Garden-Style,Stabilized,2024-08-17 00:00:00.0000000,36740.0,13.0,7501.0,36740.0,4922982.0,1882.0,2021.5,2022.0,,355.0,356805.0,2020-10-31 00:00:00.0000000,2022-08-31 00:00:00.0000000,,5450000.0,59882000.0,18215000.0,83547000.0,False,False,False,33896,28.271397,-81.620036,www.cortland.com/champions-gate,championsgate@cortland.com,championsgate,(863) 213-6710,1291 EL MIRASOL LOOP,,"El Mirasol FL Investors, LLC",87-1261948,Stand-alone,DAVENPORT,FL,Cortland ChampionsGate
58,Cortland Research Park,arbsbre27713,Core-Plus,Acquisition,2020-05-08 00:00:00.0000000,,False,2019-03-26 00:00:00.0000000,Suburban,B,Garden-Style,Stabilized,2019-03-26 00:00:00.0000000,239580.0,11.0,8854.0,20500.0,4038401.0,1355.0,1996.0,1996.0,,360.0,340248.0,,,30.55,64365663.0,,,,False,False,True,27713-8300,35.904771,-78.908545,cortland.com/research-park,researchpark@cortland.com,arboretumbre,(919) 823-5801,4405 Waterford Valley Dr,,,84-4601448,Acorn 1,Durham,NC,Cortland Research Park
59,Cortland Deerfield Station,cords33442,Core-Plus,Acquisition,2021-06-08 00:00:00.0000000,,False,2021-07-08 00:00:00.0000000,Suburban,A,Garden-Style,Stabilized,2021-07-08 00:00:00.0000000,22744.0,8.0,7622.0,33100.0,4793818.0,1532.0,2019.0,2019.0,,226.0,203419.0,2021-07-31 00:00:00.0000000,2022-12-31 00:00:00.0000000,6.9,65950000.0,1305000.0,992759.3966666668,68247759.3966667,False,False,False,33442-3100,26.316369,-80.119981,cortland.com/deerfield-station,deerfieldstation@cortland.com,deerfield,(754) 399-3852,67 SW 12th Ave,,S 12th FL Partners LLC,83-2495528,CGI,Deerfield Beach,FL,Cortland Deerfield Station
60,Park West Senior,avps30318,Opportunistic,Development,2008-03-01 00:00:00.0000000,,True,2012-06-12 00:00:00.0000000,Infill,B,Garden-Style,Stabilized,2012-06-12 00:00:00.0000000,12060.0,6.0,6751.0,12060.0,2690932.0,12.0,2009.0,2009.0,,136.0,105600.0,,2012-04-30 00:00:00.0000000,11.12,3500000.0,0.0,44417.6842,3544417.6842,True,False,False,30318-6071,33.776686,-84.478224,www.cortland.com/park-west,parkwest@cortland.com,avaprks,(404) 799-8181,2798 Peek Rd NW,,"Provenance at Hollowell Senior, LP",34-2043135,Stand-alone,Atlanta,GA,Park West Senior
61,The Bend at Broad,benb43004,Value-Add,Acquisition,2014-09-30 00:00:00.0000000,,False,2019-04-19 00:00:00.0000000,Suburban,B,Garden-Style,Stabilized,2019-04-19 00:00:00.0000000,18140.0,4.0,8011.0,18140.0,3388227.0,237.0,1997.0,1997.0,,384.0,314160.0,,2019-03-31 00:00:00.0000000,49.67,18416000.0,1757631.75,1070509.4092,21244141.1592,False,True,False,43004-9296,39.988091,-82.815349,www.bendatbroad.com,bendatbroad@cortland.com,stonebridge,(380) 208-0459,170 Heatherbridge Ln,,"Heatherbridge OH Partners, LLC",47-1000033,Parkwood-Ohio,Blacklick,OH,The Bend at Broad
62,Cortland at Stonebriar - Phase 2,corsv75035,Core-Plus,Acquisition,2020-07-01 00:00:00.0000000,,False,,Suburban,A,Mid-Rise,Non-Stabilized,,19124.0,29.0,7516.0,19100.0,5388966.0,1387.0,2019.0,2019.0,,283.0,269632.0,,,,63532373.37439981,1283150.37292818,1532959.97736494,66348483.724692896,False,False,False,75035-6583,33.103995,-96.799511,https://cortland.com/apartments/cortland-at-stoneb,stonebriar@cortland.com,verus,(972) 382-5714,3100 Ohio Dr,,DD Frisco Pod B LLC,47-1683994 (Verus),CGI,Frisco,TX,Cortland at Stonebriar
63,Cortland Whitehall,capcwbre228273,Core-Plus,Acquisition,2021-07-01 00:00:00.0000000,,False,2025-02-17 00:00:00.0000000,Suburban,A,Garden-Style,Stabilized,2025-02-17 00:00:00.0000000,16740.0,3.0,7779.0,16740.0,4450018.0,1548.0,2018.0,2018.0,,271.0,282171.0,,,,67000000.0,1053392.75741508,544651.150986488,68598043.9084015,False,False,True,28273-0046,35.151481,-80.95468,www.cortlandwhitehall.com,Whitehall@cortland.com,whitehallbre,(704) 286-8739,9214 Christy Joy Dr,,,86-3509372,Acorn 2,Charlotte,NC,Cortland Whitehall
64,Cortland Bermuda Lake,retbcbre33510,Core-Plus,Acquisition,2020-02-28 00:00:00.0000000,,False,2018-03-01 00:00:00.0000000,Suburban,A,Garden-Style,Stabilized,2018-03-01 00:00:00.0000000,45300.0,9.0,7923.0,45300.0,3789302.0,1357.0,2005.0,2005.0,,352.0,388792.0,,,48.37,71757689.0,,,,False,True,True,33510-2249,27.966303,-82.322644,cortland.com/bermuda-lake,bermudalake@cortland.com,broadwaybre,(813) 375-0631,2648 Bermuda Lake Dr,,,,Acorn 1,Brandon,FL,Cortland Bermuda Lake
65,Cortland Midtown East Phase 1 - Vue 64,v627604,Core-Plus,Acquisition,2018-01-19 00:00:00.0000000,,False,2019-12-20 00:00:00.0000000,Suburban,A,Garden-Style,Stabilized,2019-12-20 00:00:00.0000000,239580.0,3.0,7347.0,39580.0,4545104.0,703.0,2017.0,2017.0,,294.0,285155.0,2018-02-28 00:00:00.0000000,2018-03-31 00:00:00.0000000,20.67,57814336.0,411255.0,1564613.0,59790204.0,False,False,False,27604-1849,35.818621,-78.610446,https://cortland.com/apartments/cortland-midtown-e,midtowneast@cortland.com,vue64,(919) 899-2651,2601 Noblewood Cir,,DD Mellowfield II LLC,35-2507367,Portfolio 20,Raleigh,NC,Cortland Midtown East
66,Cortland Chisholm Trail,corct76123,Core-Plus,Acquisition,2022-03-08 00:00:00.0000000,,False,2022-12-19 00:00:00.0000000,Suburban,A,Garden-Style,Stabilized,2022-12-19 00:00:00.0000000,23104.0,4.0,7508.0,19100.0,4943147.0,1759.0,2022.0,2022.0,,333.0,351033.0,,,,95000000.0,3375272.0,1006772.0,99382044.0,False,False,False,76123-1538,32.609815,-97.408004,cortland.com/chisholm-trail,chisholmtrail@cortland.com,chisholm,(682) 243-5367,9100 Summit Ridge Rd,,Summit Ridge TX Partners LLC,83-2495528,CGI,Fort Worth,TX,Cortland Chisholm Trail
67,Cortland Museum District,cormd77004,Core-plus,Acquisition,2024-08-29 00:00:00.0000000,,False,2024-09-28 00:00:00.0000000,Urban,A,High-rise,Stabilized,2024-09-28 00:00:00.0000000,26420.0,2.0,6850.0,26420.0,5392847.0,2170.0,2017.0,2017.0,,233.0,303351.0,,,,86000000.0,,,,False,False,False,77004-5882,29.726692,-95.385677,https://www.cortland.com/museu,museumdistrictdistro@cortland.com,southmore,(346) 576-4689,5280 Caroline St,233.0,Caroline TX Partners LP,99-4504073,Stand-alone,Houston,TX,Cortland Museum District
68,Cortland Falls River,aurfrbre227614,Core-Plus,Acquisition,2021-07-01 00:00:00.0000000,,False,2019-08-29 00:00:00.0000000,Suburban,B,Garden-Style,Stabilized,2019-08-29 00:00:00.0000000,239580.0,8.0,7347.0,39580.0,4233239.0,1539.0,2001.0,2001.0,,284.0,319152.0,,,,65500000.0,2467055.45103702,649908.999728134,68616964.4507651,False,False,True,27614-9850,35.909348,-78.594783,https://cortland.com/apartments/cortland-falls-riv,fallsriver@cortland.com,aurumbre,(919) 752-3909,1302 Rio Valley Dr,,,86-3509372,Acorn 2,Raleigh,NC,Cortland Falls River
69,Cortland MacArthur,alngbre75063,Core-Plus,Acquisition,2020-02-28 00:00:00.0000000,,False,2018-03-01 00:00:00.0000000,Suburban,B,Garden-Style,Stabilized,2018-03-01 00:00:00.0000000,19124.0,17.0,7527.0,19100.0,3835766.0,1343.0,1999.0,1999.0,,590.0,522290.0,,,24.44,109065833.0,,,,False,True,True,75063-7224,32.915303,-96.951927,cortland.com/macarthur,macarthur@cortland.com,aleobre,(214) 441-7453,7904 N Glen Dr,,,84-4601448,Acorn 1,Irving,TX,Cortland MacArthur
70,Cortland Highcroft,corhiTL27519,Value-Add,Acquisition,2021-08-20 00:00:00.0000000,,False,2023-10-31 00:00:00.0000000,Suburban,B,Garden-Style,Stabilized,2023-10-31 00:00:00.0000000,239580.0,6.0,7346.0,39580.0,4749850.0,1608.0,1998.0,1998.0,,302.0,312990.0,2021-03-31 00:00:00.0000000,2022-08-31 00:00:00.0000000,,61470943.3962264,9688589.74729382,2451478.58065347,73611011.7241737,False,True,False,27519-7919,35.797253,-78.87159,cortland.com/highcroft,Highcroft@cortland.com,highcrofttl,(919) 642-4977,200 Brook Arbor Dr,,Brook Arbor NC Partners LP ,85-2361889 ,Torch Light,Cary,NC,Cortland Highcroft
71,Cortland Southpark Terraces,estspmbre278748,Core-Plus,Acquisition,2021-07-01 00:00:00.0000000,,False,2023-09-06 00:00:00.0000000,Suburban,B,Garden-Style,Stabilized,2023-09-06 00:00:00.0000000,12420.0,6.0,7563.0,12420.0,5219223.0,1542.0,2009.0,2009.0,,426.0,374480.0,,,,52500000.0,91714.04634,524407.216033472,53116121.2623734,False,False,True,78748-6686,30.160543,-97.797051,cortland.com/southpark-terrace,southparkterraces@cortland.com,estatesbre,(512) 877-1357,10001 S 1st St,,,,Acorn 2,Austin,TX,Cortland Southpark Terraces
72,Cortland North Plano,belv75025,Value-Add,Acquisition,2019-03-19 00:00:00.0000000,,False,2022-04-10 00:00:00.0000000,Suburban,B,Garden-Style,Stabilized,2022-04-10 00:00:00.0000000,19124.0,27.0,7538.0,19100.0,4463075.0,1192.0,1998.0,1998.0,,548.0,632850.0,2019-04-30 00:00:00.0000000,2020-09-30 00:00:00.0000000,31.92,94250000.0,20047204.0076,2758032.56269437,117055236.570294,False,True,False,75025-7527,33.108705,-96.734194,cortland.com/north-plano,northplano@cortland.com,bellavida,(214) 441-7783,9601 Custer Rd,,,,Stand-alone,Plano,TX,Cortland North Plano
73,Cortland Red Mountain,courv85008,Value-Add,Acquisition,2019-03-11 00:00:00.0000000,,False,2023-03-23 00:00:00.0000000,Suburban,B,Garden-Style,Stabilized,2023-03-23 00:00:00.0000000,38060.0,3.0,7837.0,38060.0,4453999.0,1184.0,2002.0,2002.0,,368.0,397860.0,2019-04-30 00:00:00.0000000,2021-03-31 00:00:00.0000000,,62250000.0,9813482.316,2240563.75221946,74304046.06821948,False,True,False,85008-7327,33.458545,-111.975974,cortland.com/red-mountain,redmountain@cortland.com,courtney,(602) 786-7008,4848 E Roosevelt St,,Roosevelt AZ Partners LLC,83-3026641,Stand-alone,Phoenix,AZ,Cortland Red Mountain
74,Cortland Belmar Phase I,dowbe80226,Value-Add,Acquisition,2021-08-24 00:00:00.0000000,,False,2024-09-22 00:00:00.0000000,Suburban,B,Mid-Rise,Stabilized,2024-09-22 00:00:00.0000000,19740.0,4.0,7798.0,19740.0,5394506.0,1579.0,2004.0,2004.0,,171.0,150651.0,,,,57956343.0,3574240.63163087,869611.23,62400194.861630894,False,True,False,80226-3468,39.708926,-105.075601,https://www.cortland.com/apartments/cortland-belma,belmardistro@cortland.com,belmar,(720) 730-4273,445 S Saulsbury St,,"Belmar Multifamily Owner, L.P. (DE)",83-2495528,CGI,Lakewood,CO,Cortland Belmar
75,Cortland Watermark,watecbre230062,Core-Plus,Acquisition,2021-05-20 00:00:00.0000000,,False,2021-04-20 00:00:00.0000000,Suburban,B,Garden-Style,Stabilized,2021-04-20 00:00:00.0000000,12060.0,28.0,6713.0,12060.0,2911004.0,1527.0,1985.0,1985.0,,510.0,535896.0,,,58.9,124000000.0,606000.0,864455.7860414791,125470455.786041,False,False,True,30062-3868,33.971009,-84.493716,cortland.com/watermark,watermark@cortland.com,eastlakebre,(770) 343-3910,2000 E Lake Pkwy,,,86-3509372,Acorn 2,Marietta,GA,Cortland Watermark
76,Cortland Rockrimmon,corrockrim80919,Value-add,Acquisition,2022-07-19 00:00:00.0000000,,False,2024-06-22 00:00:00.0000000,Suburban,B,Garden-style,Stabilized,2024-06-22 00:00:00.0000000,17820.0,4.0,8799.0,17820.0,4986175.0,1847.0,1996.0,1996.0,,126.0,113535.0,,,,44750000.0,7818705.0,1098266.0,53666971.0,False,True,False,80919-3718,38.917839,-104.835605,www.cortland.com/rockrimmon,rockrimmon@cortland.com,rockrimmon,(719) 259-0908,5965 Nora Pt,126.0,"Nora Point CO Partners, LLC",85-2361889,Stand-alone,Colorado Springs,CO,Cortland Rockrimmon
77,Tramore Village,cortv30106,Value-add,Acquisition,2022-05-19 00:00:00.0000000,,False,2022-06-18 00:00:00.0000000,Suburban,B,Garden-style,Stabilized,2022-06-18 00:00:00.0000000,12060.0,22.0,6713.0,12060.0,4971384.0,1798.0,1999.0,1999.0,,324.0,348804.0,,,,,,,,False,True,False,30106-8190,33.861428,-84.619019,cortland.com/tramore-village,tramorevillage@cortland.com,austell,(678) 890-4035,2222 E West Connector,324.0,RRE Tramore Village Holdings LLC,81-3506451,3rd Party Management,Austell,GA,Tramore Village
78,Cortland North Haven,norh77433,Core-Plus,Acquisition,2018-01-19 00:00:00.0000000,,False,2018-02-18 00:00:00.0000000,Suburban,A,Garden-Style,Stabilized,2018-02-18 00:00:00.0000000,26420.0,22.0,6836.0,26420.0,4266912.0,691.0,2016.0,2016.0,,310.0,362154.0,2018-02-28 00:00:00.0000000,2018-03-31 00:00:00.0000000,,49500000.0,411255.0,2799064.0,52710319.0,False,False,False,77433-0062,29.966059,-95.696411,cortland.com/north-haven,northhaven@cortland.com,northhaven,(281) 502-4291,17802 Mound Rd,,Mound TX Partners LLC,82-3102419,Portfolio 20,Cypress,TX,Cortland North Haven
79,Cortland Hilliard,peypa43026,Value-Add,Acquisition,2021-10-12 00:00:00.0000000,,False,2021-11-11 00:00:00.0000000,Suburban,A,Garden-Style,Stabilized,2021-11-11 00:00:00.0000000,18140.0,8.0,8014.0,18140.0,4870580.0,1631.0,2019.0,2019.0,,128.0,119296.0,,,,22597000.0,1697806.2737496,1446952.81190083,25741759.0856504,False,True,False,43026,40.005705,-83.139092,cortland.com/hilliard,hilliard@cortland.com,peytonpark,(614) 470-2876,2581 WALCUTT RD. HILLIARD,,Peyton Park LLC,83-2495528,CGI,HILLIARD,OH,Cortland Hilliard
80,Cortland Rosslyn - Phase 1,corr22209,Core-plus,Acquisition,2022-05-17 00:00:00.0000000,,False,2023-05-17 00:00:00.0000000,Urban,A,High-Rise,Stabilized,2023-05-17 00:00:00.0000000,47900.0,7.0,6692.0,47900.0,5000432.0,1777.0,2021.0,2021.0,,331.0,326719.0,,,,266455000.0,2132925.0,1983602.0,270571527.0,False,False,False,22209-2521,38.894842,-77.076732,www.cortland.com/rosslyn,rosslyn@cortland.com,aubrey,(571) 200-4816,1788 N Pierce St,331.0,"N Pierce VA Partners – Phase I, LLC ",83-2495528 ,CGI,Arlington,VA,Cortland Rosslyn
81,Cortland Bull City,corbc27701,Core-Plus,Acquisition,2020-07-02 00:00:00.0000000,,False,2022-01-31 00:00:00.0000000,Urban,A,Mid-Rise,Stabilized,2022-01-31 00:00:00.0000000,239580.0,9.0,8853.0,20500.0,4602295.0,1384.0,2020.0,2020.0,,342.0,274752.0,,,3.76,87210000.0,556743.0,5939349.87955514,93706092.8795551,False,False,False,27701-3635,35.99472,-78.908269,cortland.com/bull-city,BullCity@cortland.com,bullcity,(984) 207-0820,600 Willard St,,Willard NC Partners LP,85-1244705,Stand-alone,Durham,NC,Cortland Bull City
82,Cortland Lake Lotus,allllbre32714,Core-Plus,Acquisition,2020-05-08 00:00:00.0000000,,False,2019-06-09 00:00:00.0000000,Infill,A,Garden-Style,Stabilized,2019-06-09 00:00:00.0000000,36740.0,7.0,7500.0,36740.0,4023052.0,1353.0,1997.0,1998.0,,578.0,519735.0,,,,119521509.0,,,,False,False,True,32714-3504,28.646122,-81.419069,www.cortlandlakelotus.com,lakelotus@cortland.com,allorabre,(407) 565-7520,631 Lotus Landing Blvd,,,,Acorn 1,Altamonte Springs,FL,Cortland Lake Lotus
83,Cortland at the Hammocks - Phase 1,hampl33196,Value-Add,Acquisition,2021-08-24 00:00:00.0000000,,False,2024-06-02 00:00:00.0000000,Suburban,B,Garden-Style,Stabilized,2024-06-02 00:00:00.0000000,33124.0,7.0,7610.0,33100.0,4870693.0,1596.0,1986.0,1986.0,,296.0,291736.0,,,,86755142.0,13114272.3569681,2840147.10021396,102709561.457182,False,True,False,33196-3201,25.668807,-80.442082,cortland.com/hammocks,Hammocks@cortland.com,hammocks,(786) 481-3897,15280 SW 104th St,,"SW 104th FL Partners, LLC ",81-0793405 ,Stand-alone,Miami,FL,Cortland at the Hammocks
84,Cortland Powers North - Phase 1,corpn80917,Core-Plus,Acquisition,2018-12-18 00:00:00.0000000,,False,2023-05-12 00:00:00.0000000,Suburban,A,Garden-Style,Stabilized,2023-05-12 00:00:00.0000000,17820.0,2.0,8800.0,17820.0,5052064.0,1108.0,2018.0,2018.0,,272.0,252144.0,2019-01-31 00:00:00.0000000,2019-12-31 00:00:00.0000000,,65800000.0,1297722.384,986398.38,68084120.764,False,False,False,80917-1436,38.898975,-104.721723,www.cortlandpowersnorth.com,PowersNorth@cortland.com,powersnorth,(719) 419-9284,5850 Welkin Cir,,,,Stand-alone,Colorado Springs,CO,Cortland Powers North
85,Cortland at the Village - Phase 3,villp3oef30080,Core-Plus,Acquisition,2019-03-18 00:00:00.0000000,,False,,Suburban,B,Garden-Style,Non-Stabilized,,12060.0,23.0,6713.0,12060.0,3362715.0,1181.0,1986.0,1986.0,,494.0,440165.0,,,30.895,77531034.0,334139.648102149,679372.076801857,78544546.2076626,False,False,True,30080-7698,33.887049,-84.489386,www.cortland.com/village,villagersdistro@cortland.com,village3oef,(770) 343-3358,2085 Lake Park Dr SE,,,,CGI,Smyrna,GA,Cortland at the Village
